UID,Condition,Week,I am satisfied with my current level of physical activity.,I am a physically active person.,I am committed to my physical activity goal.,How hopeful are you about your physical health today?,How was your mood today?,"On a scale of 1 to 10, how would you rate your overall experience with the app this week? (1: terrible, 10: Outstanding)","On a scale of 1 to 10, how do you like the visual of the wallpaper of this week? (1: not at all, 10: extremely)",EXERCISING is:,EXERCISING is:.1,I don’t get enough exercise because I have never learned the skills for any sport.,"Physical activity takes too much time away from other commitments—time, work, family, etc.",It’s just too expensive. You have to take a class or join a club or buy the right equipment.,My usual social activities with family or friends do not include physical activity.,My usual social activities with family or friends do not include physical activity..1,I’m just too tired to get any exercise on most days,"I want to get more exercise, but I just can’t seem to make myself stick to anything.",I’m afraid I might injure myself when I exercise,overall_rating_num,wallpaper_rating_num,pa_health_satisfaction_num,pa_health_active_num,pa_health_commitment_num,mindset_ease_num,mindset_fun_num,barrier_1_num,barrier_2_num,barrier_3_num,barrier_4_num,barrier_total
P34,T,3,Agree,Neither agree nor disagree,Strongly agree,Unpleasant,Pleasant,8: Very Good,10: Extremely,Somewhat easy,Somewhat fun,Very unlikely,Somewhat likely,Somewhat likely,Somewhat likely,Somewhat likely,I’m slightly sure I cannot,I’m slightly sure I cannot,I’m sure I cannot,8,10,4,3,5,3,3,0,2,2,2,6
P34,T,4,Strongly agree,Strongly agree,Strongly agree,Unpleasant,Very pleasant,7: Good,10: Extremely,Very easy,Very fun,Somewhat likely,Somewhat likely,Somewhat likely,Somewhat likely,Somewhat likely,Maybe I can,I’m sure I can,I’m sure I cannot,7,10,5,5,5,4,4,2,2,2,2,8
P30,C,1,Agree,Disagree,Neither agree nor disagree,Hopeful,Pleasant,9: Excellent,10: Extremely,Somewhat easy,Somewhat boring,Somewhat unlikely,Somewhat likely,Somewhat unlikely,Very likely,Very likely,Maybe I can,I’m slightly sure I cannot,I’m slightly sure I can,9,10,4,2,3,3,2,1,2,1,3,7
P30,C,2,Agree,Disagree,Agree,Hopeful,Very pleasant,8: Very Good,8: Quite a bit,Somewhat easy,Somewhat fun,Very unlikely,Somewhat likely,Somewhat unlikely,Somewhat likely,Somewhat likely,I’m slightly sure I can,Maybe I can,I’m sure I cannot,8,8,4,2,4,3,3,0,2,1,2,5
P30,C,3,Neither agree nor disagree,Neither agree nor disagree,Agree,Hopeful,Pleasant,9: Excellent,10: Extremely,Somewhat easy,Somewhat boring,Somewhat unlikely,Somewhat likely,Very unlikely,Somewhat likely,Somewhat likely,I’m slightly sure I can,Maybe I can,I’m sure I cannot,9,10,3,3,4,3,2,1,2,0,2,5
P30,C,4,Agree,Disagree,Agree,Hopeful,Pleasant,9: Excellent,10: Extremely,Somewhat easy,Somewhat boring,Very unlikely,Somewhat likely,Very unlikely,Somewhat likely,Somewhat likely,I’m sure I can,Maybe I can,I’m sure I cannot,9,10,4,2,4,3,2,0,2,0,2,4
P10,T,1,Agree,Agree,Strongly agree,Hopeful,Pleasant,8: Very Good,9: Very much,Somewhat easy,Somewhat fun,Very unlikely,Somewhat unlikely,Very unlikely,Somewhat likely,Somewhat likely,I’m slightly sure I can,I’m sure I can,I’m slightly sure I can,8,9,4,4,5,3,3,0,1,0,2,3
P10,T,2,Agree,Agree,Strongly agree,Hopeful,Very pleasant,7: Good,8: Quite a bit,Somewhat easy,Somewhat fun,Very unlikely,Very unlikely,Very unlikely,Somewhat unlikely,Somewhat unlikely,I’m sure I can,I’m sure I can,I’m slightly sure I can,7,8,4,4,5,3,3,0,0,0,1,1
P10,T,3,Agree,Agree,Strongly agree,Hopeful,Neither pleasant nor unpleasant,9: Excellent,9: Very much,Somewhat easy,Somewhat fun,Very unlikely,Somewhat unlikely,Very unlikely,Somewhat likely,Somewhat likely,I’m sure I can,I’m sure I can,I’m slightly sure I can,9,9,4,4,5,3,3,0,1,0,2,3
P10,T,4,Agree,Agree,Strongly agree,Hopeful,Pleasant,9: Excellent,9: Very much,Somewhat easy,Somewhat fun,Very unlikely,Somewhat unlikely,Very unlikely,Somewhat likely,Somewhat likely,I’m sure I can,I’m sure I can,Maybe I can,9,9,4,4,5,3,3,0,1,0,2,3
P46,T,1,Disagree,Agree,Strongly agree,Hopeful,Pleasant,9: Excellent,10: Extremely,Somewhat difficult,Somewhat boring,Very unlikely,Very unlikely,Somewhat unlikely,Somewhat unlikely,Somewhat likely,I’m slightly sure I can,I’m sure I can,I’m sure I cannot,9,10,2,4,5,2,2,0,0,1,1,2
P46,T,2,Neither agree nor disagree,Agree,Agree,Hopeful,Pleasant,9: Excellent,9: Very much,Somewhat difficult,Somewhat boring,Somewhat unlikely,Somewhat unlikely,Very unlikely,Somewhat likely,Somewhat unlikely,I’m slightly sure I can,I’m slightly sure I cannot,I’m sure I can,9,9,3,4,4,2,2,1,1,0,2,4
P46,T,3,Agree,Strongly agree,Agree,Very hopeful,Pleasant,9: Excellent,8: Quite a bit,Somewhat difficult,Somewhat boring,Somewhat unlikely,Very unlikely,Somewhat unlikely,Somewhat unlikely,Somewhat unlikely,I’m slightly sure I can,Maybe I can,I’m sure I can,9,8,4,5,4,2,2,1,0,1,1,3
P46,T,4,Agree,Strongly agree,Agree,Hopeful,Neither pleasant nor unpleasant,9: Excellent,10: Extremely,Somewhat difficult,Somewhat boring,Somewhat unlikely,Somewhat unlikely,Somewhat unlikely,Somewhat unlikely,Somewhat unlikely,Maybe I can,I’m slightly sure I cannot,I’m sure I can,9,10,4,5,4,2,2,1,1,1,1,4
P7,C,1,Disagree,Disagree,Disagree,Neither pleasant nor unpleasant,Pleasant,5: Neutral,3: Hardly,Very difficult,Very boring,Somewhat unlikely,Somewhat likely,Somewhat unlikely,Very likely,Very likely,Maybe I can,I’m sure I can,I’m sure I cannot,5,3,2,2,2,1,1,1,2,1,3,7
P7,C,2,Disagree,Disagree,Neither agree nor disagree,Hopeful,Pleasant,6: Above Average,5: Somewhat,Very difficult,Very boring,Very unlikely,Somewhat likely,Very unlikely,Very likely,Very likely,I’m slightly sure I cannot,Maybe I can,I’m sure I cannot,6,5,2,2,3,1,1,0,2,0,3,5
P7,C,4,Disagree,Disagree,Neither agree nor disagree,Hopeful,Pleasant,5: Neutral,5: Somewhat,Very difficult,Very boring,Very unlikely,Somewhat unlikely,Very unlikely,Very likely,Very likely,I’m slightly sure I cannot,I’m slightly sure I cannot,I’m sure I cannot,5,5,2,2,3,1,1,0,1,0,3,4
P14,C,1,Agree,Neither agree nor disagree,Neither agree nor disagree,Hopeful,Pleasant,5: Neutral,7: Fairly,Somewhat difficult,Somewhat boring,Somewhat unlikely,Somewhat likely,Somewhat likely,Somewhat likely,Somewhat likely,I’m slightly sure I cannot,Maybe I can,I’m slightly sure I can,5,7,4,3,3,2,2,1,2,2,2,7
P14,C,2,Agree,Agree,Agree,Hopeful,Pleasant,8: Very Good,8: Quite a bit,Somewhat easy,Somewhat boring,Very unlikely,Somewhat likely,Somewhat likely,Somewhat likely,Somewhat likely,Maybe I can,I’m slightly sure I can,I’m slightly sure I can,8,8,4,4,4,3,2,0,2,2,2,6
P14,C,3,Agree,Agree,Neither agree nor disagree,Hopeful,Pleasant,8: Very Good,8: Quite a bit,Somewhat easy,Somewhat fun,Somewhat likely,Somewhat likely,Somewhat unlikely,Somewhat likely,Somewhat likely,I’m slightly sure I can,Maybe I can,Maybe I can,8,8,4,4,3,3,3,2,2,1,2,7
P14,C,4,Agree,Neither agree nor disagree,Neither agree nor disagree,Unpleasant,Neither pleasant nor unpleasant,7: Good,7: Fairly,Somewhat difficult,Somewhat fun,Somewhat unlikely,Somewhat unlikely,Somewhat likely,Somewhat likely,Somewhat likely,Maybe I can,Maybe I can,Maybe I can,7,7,4,3,3,2,3,1,1,2,2,6
P47,C,1,Agree,Agree,Agree,Hopeful,Pleasant,7: Good,9: Very much,Somewhat easy,Somewhat fun,Very unlikely,Somewhat likely,Very likely,Very likely,Very likely,I’m sure I can,I’m sure I can,I’m sure I can,7,9,4,4,4,3,3,0,2,3,3,8
P47,C,4,Agree,Strongly agree,Strongly agree,Very hopeful,Very pleasant,8: Very Good,10: Extremely,Somewhat easy,Somewhat boring,Very unlikely,Somewhat likely,Very likely,Very likely,Somewhat likely,I’m slightly sure I can,I’m sure I can,I’m sure I cannot,8,10,4,5,5,3,2,0,2,3,3,8
P16,T,1,Disagree,Disagree,Strongly agree,Very hopeful,Pleasant,10: Outstanding,10: Extremely,Somewhat difficult,Somewhat fun,Very unlikely,Very likely,Very unlikely,Very likely,Very likely,I’m slightly sure I can,I’m slightly sure I can,I’m slightly sure I can,10,10,2,2,5,2,3,0,3,0,3,6
P16,T,2,Disagree,Disagree,Strongly agree,Very hopeful,Very pleasant,9: Excellent,10: Extremely,Somewhat easy,Somewhat fun,Very unlikely,Very likely,Very unlikely,Very likely,Very likely,Maybe I can,I’m slightly sure I can,Maybe I can,9,10,2,2,5,3,3,0,3,0,3,6
P16,T,3,Neither agree nor disagree,Disagree,Strongly agree,Very hopeful,Very pleasant,9: Excellent,9: Very much,Somewhat easy,Somewhat fun,Very unlikely,Very likely,Very unlikely,Very likely,Very likely,I’m slightly sure I can,I’m sure I can,I’m slightly sure I can,9,9,3,2,5,3,3,0,3,0,3,6
P16,T,4,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Very hopeful,Very pleasant,10: Outstanding,10: Extremely,Very easy,Very fun,Very unlikely,Somewhat likely,Very unlikely,Very likely,Very likely,I’m slightly sure I can,I’m sure I can,I’m sure I can,10,10,3,3,5,4,4,0,2,0,3,5
P2,C,1,Neither agree nor disagree,Disagree,Agree,Neither pleasant nor unpleasant,Pleasant,9: Excellent,8: Quite a bit,Somewhat difficult,Very boring,Somewhat likely,Very likely,Very likely,Very likely,Very likely,Maybe I can,Maybe I can,I’m slightly sure I cannot,9,8,3,2,4,2,1,2,3,3,3,11
P2,C,3,Agree,Disagree,Strongly agree,Neither pleasant nor unpleasant,Neither pleasant nor unpleasant,8: Very Good,8: Quite a bit,Somewhat difficult,Somewhat boring,Very likely,Somewhat likely,Very likely,Very likely,Very likely,Maybe I can,I’m slightly sure I can,I’m slightly sure I cannot,8,8,4,2,5,2,2,3,2,3,3,11
P2,C,4,Neither agree nor disagree,Disagree,Strongly agree,Neither pleasant nor unpleasant,Pleasant,9: Excellent,8: Quite a bit,Somewhat difficult,Somewhat boring,Very likely,Very likely,Somewhat unlikely,Very likely,Very likely,Maybe I can,Maybe I can,I’m sure I cannot,9,8,3,2,5,2,2,3,3,1,3,10
P53,T,1,Strongly agree,Agree,Strongly agree,Hopeful,Pleasant,8: Very Good,9: Very much,Somewhat easy,Somewhat fun,Very unlikely,Very likely,Very unlikely,Somewhat unlikely,Somewhat unlikely,I’m slightly sure I can,I’m slightly sure I can,I’m sure I cannot,8,9,5,4,5,3,3,0,3,0,1,4
P53,T,2,Agree,Agree,Strongly agree,Very hopeful,Pleasant,9: Excellent,8: Quite a bit,Somewhat easy,Somewhat fun,Very unlikely,Somewhat likely,Somewhat unlikely,Somewhat unlikely,Somewhat unlikely,I’m slightly sure I can,I’m slightly sure I can,I’m slightly sure I cannot,9,8,4,4,5,3,3,0,2,1,1,4
P53,T,3,Strongly agree,Strongly agree,Strongly agree,Very hopeful,Pleasant,9: Excellent,8: Quite a bit,Somewhat easy,Somewhat fun,Very unlikely,Somewhat likely,Very unlikely,Somewhat unlikely,Somewhat unlikely,I’m slightly sure I can,I’m slightly sure I can,I’m slightly sure I cannot,9,8,5,5,5,3,3,0,2,0,1,3
P53,T,4,Strongly agree,Strongly agree,Strongly agree,Very hopeful,Very pleasant,9: Excellent,9: Very much,Somewhat easy,Somewhat fun,Very unlikely,Somewhat likely,Very unlikely,Very unlikely,Very unlikely,I’m slightly sure I can,I’m slightly sure I can,I’m sure I cannot,9,9,5,5,5,3,3,0,2,0,0,2
P18,T,1,Strongly agree,Agree,Strongly agree,Very hopeful,Very pleasant,10: Outstanding,9: Very much,Somewhat easy,Somewhat fun,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Somewhat unlikely,I’m sure I cannot,I’m sure I can,I’m sure I cannot,10,9,5,4,5,3,3,0,0,0,0,0
P18,T,2,Strongly agree,Agree,Strongly agree,Very hopeful,Very pleasant,9: Excellent,9: Very much,Somewhat easy,Somewhat fun,Very unlikely,Very unlikely,Very unlikely,Somewhat unlikely,Somewhat unlikely,I’m sure I can,I’m sure I can,I’m slightly sure I cannot,9,9,5,4,5,3,3,0,0,0,1,1
P18,T,4,Strongly agree,Strongly agree,Strongly agree,Very hopeful,Very pleasant,9: Excellent,10: Extremely,Somewhat easy,Somewhat fun,Very unlikely,Very unlikely,Very unlikely,Somewhat likely,Somewhat likely,I’m sure I can,I’m sure I can,I’m sure I cannot,9,10,5,5,5,3,3,0,0,0,2,2
P20,C,1,Disagree,Disagree,Agree,Neither pleasant nor unpleasant,Unpleasant,10: Outstanding,10: Extremely,Somewhat easy,Somewhat boring,Somewhat unlikely,Somewhat likely,Somewhat unlikely,Very likely,Very likely,Maybe I can,Maybe I can,I’m slightly sure I cannot,10,10,2,2,4,3,2,1,2,1,3,7
P20,C,2,Disagree,Disagree,Agree,Hopeful,Pleasant,10: Outstanding,10: Extremely,Somewhat difficult,Somewhat boring,Somewhat unlikely,Somewhat likely,Somewhat unlikely,Very likely,Very likely,Maybe I can,Maybe I can,I’m slightly sure I cannot,10,10,2,2,4,2,2,1,2,1,3,7
P20,C,3,Neither agree nor disagree,Disagree,Agree,Hopeful,Very pleasant,9: Excellent,10: Extremely,Somewhat difficult,Somewhat boring,Somewhat likely,Very likely,Somewhat unlikely,Somewhat likely,Somewhat likely,Maybe I can,Maybe I can,I’m slightly sure I cannot,9,10,3,2,4,2,2,2,3,1,2,8
P20,C,4,Disagree,Disagree,Neither agree nor disagree,Hopeful,Unpleasant,8: Very Good,6: Moderately,Somewhat difficult,Very boring,Somewhat unlikely,Somewhat likely,Very unlikely,Very likely,Very likely,Maybe I can,Maybe I can,I’m slightly sure I cannot,8,6,2,2,3,2,1,1,2,0,3,6
P42,T,1,Disagree,Disagree,Agree,Hopeful,Pleasant,7: Good,5: Somewhat,Somewhat difficult,Somewhat fun,Somewhat unlikely,Somewhat likely,Somewhat unlikely,Somewhat likely,Somewhat likely,Maybe I can,Maybe I can,I’m sure I cannot,7,5,2,2,4,2,3,1,2,1,2,6
P42,T,2,Disagree,Disagree,Agree,Very hopeful,Pleasant,7: Good,8: Quite a bit,Somewhat easy,Somewhat fun,Very unlikely,Very unlikely,Very unlikely,Very likely,Somewhat unlikely,I’m slightly sure I can,Maybe I can,I’m sure I cannot,7,8,2,2,4,3,3,0,0,0,3,3
P42,T,3,Disagree,Disagree,Agree,Neither pleasant nor unpleasant,Pleasant,8: Very Good,8: Quite a bit,Somewhat easy,Somewhat fun,Very unlikely,Somewhat likely,Somewhat likely,Very likely,Very likely,I’m slightly sure I can,I’m slightly sure I can,I’m sure I cannot,8,8,2,2,4,3,3,0,2,2,3,7
P42,T,4,Agree,Agree,Agree,Hopeful,Very pleasant,9: Excellent,9: Very much,Somewhat easy,Somewhat fun,Very unlikely,Somewhat likely,Somewhat unlikely,Somewhat likely,Somewhat likely,I’m sure I can,I’m slightly sure I can,I’m sure I cannot,9,9,4,4,4,3,3,0,2,1,2,5
P9,T,1,Neither agree nor disagree,Disagree,Agree,Hopeful,Pleasant,8: Very Good,8: Quite a bit,Somewhat difficult,Somewhat boring,Somewhat unlikely,Very likely,Somewhat likely,Somewhat likely,Somewhat likely,Maybe I can,Maybe I can,Maybe I can,8,8,3,2,4,2,2,1,3,2,2,8
P9,T,3,Neither agree nor disagree,Neither agree nor disagree,Agree,Hopeful,Pleasant,8: Very Good,9: Very much,Somewhat easy,Somewhat boring,Very unlikely,Somewhat likely,Somewhat likely,Very unlikely,Somewhat unlikely,Maybe I can,Maybe I can,I’m slightly sure I can,8,9,3,3,4,3,2,0,2,2,0,4
P9,T,4,Neither agree nor disagree,Neither agree nor disagree,Agree,Hopeful,Pleasant,8: Very Good,8: Quite a bit,Somewhat easy,Somewhat fun,Somewhat unlikely,Somewhat likely,Somewhat unlikely,Somewhat unlikely,Somewhat unlikely,I’m slightly sure I can,Maybe I can,Maybe I can,8,8,3,3,4,3,3,1,2,1,1,5
P5,T,1,Disagree,Strongly disagree,Agree,Hopeful,Pleasant,7: Good,6: Moderately,Somewhat difficult,Very boring,Very unlikely,Somewhat unlikely,Very unlikely,Very likely,Very likely,Maybe I can,Maybe I can,I’m slightly sure I cannot,7,6,2,1,4,2,1,0,1,0,3,4
P5,T,2,Disagree,Disagree,Agree,Hopeful,Unpleasant,8: Very Good,8: Quite a bit,Somewhat difficult,Very boring,Very unlikely,Somewhat likely,Somewhat unlikely,Very likely,Very likely,I’m slightly sure I cannot,Maybe I can,I’m slightly sure I cannot,8,8,2,2,4,2,1,0,2,1,3,6
P5,T,3,Disagree,Strongly disagree,Neither agree nor disagree,Hopeful,Neither pleasant nor unpleasant,8: Very Good,9: Very much,Somewhat difficult,Very boring,Very unlikely,Somewhat likely,Very unlikely,Very likely,Very likely,Maybe I can,Maybe I can,I’m sure I cannot,8,9,2,1,3,2,1,0,2,0,3,5
P5,T,4,Disagree,Strongly disagree,Agree,Hopeful,Pleasant,8: Very Good,9: Very much,Somewhat difficult,Very boring,Very unlikely,Somewhat likely,Somewhat unlikely,Very likely,Very likely,I’m slightly sure I cannot,Maybe I can,I’m sure I cannot,8,9,2,1,4,2,1,0,2,1,3,6
P41,C,1,Agree,Neither agree nor disagree,Agree,Hopeful,Pleasant,7: Good,7: Fairly,Somewhat difficult,Somewhat boring,Somewhat likely,Somewhat likely,Somewhat likely,Very likely,Very likely,I’m slightly sure I can,I’m slightly sure I can,I’m slightly sure I cannot,7,7,4,3,4,2,2,2,2,2,3,9
P41,C,2,Agree,Agree,Agree,Hopeful,Pleasant,7: Good,7: Fairly,Somewhat difficult,Somewhat boring,Somewhat unlikely,Somewhat likely,Somewhat likely,Very likely,Very likely,I’m slightly sure I can,I’m slightly sure I can,I’m slightly sure I cannot,7,7,4,4,4,2,2,1,2,2,3,8
P41,C,3,Agree,Agree,Agree,Hopeful,Pleasant,8: Very Good,8: Quite a bit,Somewhat difficult,Somewhat boring,Somewhat likely,Somewhat unlikely,Somewhat likely,Very likely,Very likely,I’m slightly sure I can,I’m slightly sure I can,I’m slightly sure I cannot,8,8,4,4,4,2,2,2,1,2,3,8
P41,C,4,Agree,Agree,Agree,Hopeful,Pleasant,8: Very Good,8: Quite a bit,Somewhat difficult,Somewhat boring,Somewhat likely,Somewhat likely,Somewhat likely,Somewhat likely,Somewhat likely,Maybe I can,I’m slightly sure I can,I’m slightly sure I cannot,8,8,4,4,4,2,2,2,2,2,2,8
P27,T,1,Strongly disagree,Neither agree nor disagree,Strongly agree,Very hopeful,Pleasant,6: Above Average,5: Somewhat,Somewhat difficult,Somewhat boring,Somewhat unlikely,Very likely,Very unlikely,Very likely,Very likely,Maybe I can,I’m slightly sure I cannot,I’m sure I cannot,6,5,1,3,5,2,2,1,3,0,3,7
P27,T,2,Disagree,Neither agree nor disagree,Strongly agree,Hopeful,Neither pleasant nor unpleasant,7: Good,4: Slightly,Somewhat easy,Somewhat boring,Somewhat unlikely,Somewhat likely,Very unlikely,Very likely,Very likely,I’m slightly sure I can,I’m slightly sure I can,I’m slightly sure I can,7,4,2,3,5,3,2,1,2,0,3,6
P27,T,3,Disagree,Neither agree nor disagree,Strongly agree,Neither pleasant nor unpleasant,Unpleasant,4: Below Average,6: Moderately,Somewhat easy,Somewhat boring,Somewhat unlikely,Somewhat likely,Very unlikely,Very likely,Very likely,Maybe I can,Maybe I can,Maybe I can,4,6,2,3,5,3,2,1,2,0,3,6
P27,T,4,Disagree,Disagree,Strongly agree,Hopeful,Pleasant,5: Neutral,5: Somewhat,Somewhat easy,Somewhat boring,Somewhat unlikely,Somewhat likely,Very unlikely,Very likely,Very likely,I’m slightly sure I cannot,I’m slightly sure I can,I’m slightly sure I can,5,5,2,2,5,3,2,1,2,0,3,6
P52,T,1,Agree,Agree,Strongly agree,Very hopeful,Very pleasant,6: Above Average,2: Barely,Somewhat easy,Somewhat boring,Very unlikely,Somewhat likely,Very unlikely,Somewhat unlikely,Somewhat unlikely,Maybe I can,I’m sure I can,I’m sure I cannot,6,2,4,4,5,3,2,0,2,0,1,3
P52,T,2,Agree,Agree,Neither agree nor disagree,Hopeful,Very pleasant,6: Above Average,4: Slightly,Somewhat easy,Somewhat fun,Very unlikely,Very likely,Very unlikely,Somewhat likely,Somewhat likely,I’m slightly sure I can,I’m slightly sure I cannot,I’m sure I cannot,6,4,4,4,3,3,3,0,3,0,2,5
P52,T,3,Agree,Agree,Neither agree nor disagree,Hopeful,Very pleasant,7: Good,5: Somewhat,Somewhat difficult,Somewhat fun,Very unlikely,Very likely,Very unlikely,Somewhat likely,Somewhat likely,Maybe I can,I’m slightly sure I can,I’m sure I cannot,7,5,4,4,3,2,3,0,3,0,2,5
P52,T,4,Agree,Neither agree nor disagree,Agree,Neither pleasant nor unpleasant,Pleasant,6: Above Average,2: Barely,Somewhat difficult,Somewhat fun,Very unlikely,Very likely,Very unlikely,Somewhat likely,Somewhat likely,I’m slightly sure I cannot,I’m slightly sure I cannot,I’m sure I cannot,6,2,4,3,4,2,3,0,3,0,2,5
P23,C,1,Disagree,Disagree,Strongly agree,Hopeful,Pleasant,4: Below Average,8: Quite a bit,Somewhat difficult,Somewhat fun,Somewhat likely,Very likely,Somewhat unlikely,Very likely,Very likely,I’m sure I can,I’m sure I can,I’m sure I cannot,4,8,2,2,5,2,3,2,3,1,3,9
P23,C,2,Disagree,Agree,Strongly agree,Hopeful,Pleasant,8: Very Good,9: Very much,Somewhat difficult,Somewhat fun,Very unlikely,Very likely,Very unlikely,Somewhat likely,Somewhat likely,I’m sure I can,I’m sure I can,I’m sure I cannot,8,9,2,4,5,2,3,0,3,0,2,5
P23,C,3,Disagree,Agree,Strongly agree,Hopeful,Neither pleasant nor unpleasant,8: Very Good,10: Extremely,Somewhat difficult,Somewhat fun,Very unlikely,Very likely,Somewhat unlikely,Somewhat likely,Somewhat likely,I’m sure I can,I’m sure I can,I’m sure I cannot,8,10,2,4,5,2,3,0,3,1,2,6
P23,C,4,Disagree,Agree,Strongly agree,Hopeful,Pleasant,8: Very Good,9: Very much,Somewhat easy,Somewhat fun,Very unlikely,Very likely,Somewhat unlikely,Very likely,Very likely,I’m sure I can,I’m sure I can,I’m sure I cannot,8,9,2,4,5,3,3,0,3,1,3,7
P24,C,1,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Hopeful,Very pleasant,7: Good,6: Moderately,Somewhat difficult,Somewhat boring,Very unlikely,Very likely,Very unlikely,Very unlikely,Somewhat likely,I’m sure I cannot,I’m slightly sure I can,I’m sure I cannot,7,6,3,3,5,2,2,0,3,0,0,3
P24,C,2,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Very hopeful,Pleasant,9: Excellent,9: Very much,Somewhat difficult,Somewhat boring,Very unlikely,Very likely,Somewhat unlikely,Somewhat likely,Somewhat likely,I’m slightly sure I can,Maybe I can,I’m sure I cannot,9,9,3,3,5,2,2,0,3,1,2,6
P24,C,3,Agree,Neither agree nor disagree,Strongly agree,Very hopeful,Neither pleasant nor unpleasant,9: Excellent,10: Extremely,Somewhat difficult,Somewhat boring,Very unlikely,Somewhat likely,Very unlikely,Somewhat unlikely,Somewhat unlikely,I’m slightly sure I can,I’m slightly sure I can,I’m sure I cannot,9,10,4,3,5,2,2,0,2,0,1,3
